noreg,tanggal_record,plan,aktual,reject,persentase,hadir,keterangan
2604144,2026-06-09,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi sesuai jadwal.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX."
2601176,2026-06-09,0,0,0,,✔,Time management
2603130,2026-06-09,0,79,0,100.0,✔,"gerinda duduk Cylinder Liner (55 pcs), Narrow Adaptor (24 pcs)."
2605042,2026-06-08,0,32,0,100.0,✔,
2605046,2026-06-09,0,42,1,100.0,✔,
2602168,2026-06-09,0,33,0,100.0,✔,
2605045,2026-06-09,0,8,1,100.0,✔,tidak ada
2605039,2026-06-09,19,19,1,100.0,✔,Tdak ada
2605044,2026-06-09,15,15,0,100.0,✔,tidak ada
2605043,2026-06-09,140,140,0,100.0,✔,tidak ada
2603146,2026-06-09,9,8,1,88.89,✔,"Pengecekan Pasir 
Pengecekan Core"
2605047,2026-06-09,0,24,0,100.0,✔,Tidak ada
